Dartmouth Raiders Dataset --- All files available at  http://datasets-dev.datalad.org/labs/haxby/raiders/,,
Files of size 45MB-70MB,,
,,
name of the file, index over 312 inputs, index over 88 type2
sub-rid000005_task-raiders_acq-8ch326vol_run-04_bold.nii.gz,20,1
sub-rid000005_task-raiders_acq-8ch336vol_run-01_bold.nii.gz,21,2
sub-rid000005_task-raiders_acq-8ch340vol_run-05_bold.nii.gz,22,3
sub-rid000005_task-raiders_acq-8ch340vol_run-08_bold.nii.gz,23,4
sub-rid000005_task-raiders_acq-8ch344vol_run-02_bold.nii.gz,24,5
sub-rid000005_task-raiders_acq-8ch344vol_run-03_bold.nii.gz,25,6
sub-rid000005_task-raiders_acq-8ch344vol_run-06_bold.nii.gz,26,7
sub-rid000005_task-raiders_acq-8ch344vol_run-07_bold.nii.gz,27,8
sub-rid000011_task-raiders_acq-8ch326vol_run-04_bold.nii.gz,30,9
sub-rid000011_task-raiders_acq-8ch336vol_run-01_bold.nii.gz,31,10
sub-rid000011_task-raiders_acq-8ch340vol_run-05_bold.nii.gz,32,11
sub-rid000011_task-raiders_acq-8ch340vol_run-08_bold.nii.gz,33,12
sub-rid000011_task-raiders_acq-8ch344vol_run-02_bold.nii.gz,34,13
sub-rid000011_task-raiders_acq-8ch344vol_run-03_bold.nii.gz,35,14
sub-rid000011_task-raiders_acq-8ch344vol_run-06_bold.nii.gz,36,15
sub-rid000011_task-raiders_acq-8ch344vol_run-07_bold.nii.gz,37,16
sub-rid000014_task-raiders_acq-8ch326vol_run-04_bold.nii.gz,40,17
sub-rid000014_task-raiders_acq-8ch336vol_run-01_bold.nii.gz,41,18
sub-rid000014_task-raiders_acq-8ch340vol_run-05_bold.nii.gz,42,19
sub-rid000014_task-raiders_acq-8ch340vol_run-08_bold.nii.gz,43,20
sub-rid000014_task-raiders_acq-8ch344vol_run-02_bold.nii.gz,44,21
sub-rid000014_task-raiders_acq-8ch344vol_run-03_bold.nii.gz,45,22
sub-rid000014_task-raiders_acq-8ch344vol_run-06_bold.nii.gz,46,23
sub-rid000014_task-raiders_acq-8ch344vol_run-07_bold.nii.gz,47,24
sub-rid000015_task-raiders_acq-8ch326vol_run-04_bold.nii.gz,50,25
sub-rid000015_task-raiders_acq-8ch336vol_run-01_bold.nii.gz,51,26
sub-rid000015_task-raiders_acq-8ch340vol_run-05_bold.nii.gz,52,27
sub-rid000015_task-raiders_acq-8ch340vol_run-08_bold.nii.gz,53,28
sub-rid000015_task-raiders_acq-8ch344vol_run-02_bold.nii.gz,54,29
sub-rid000015_task-raiders_acq-8ch344vol_run-03_bold.nii.gz,55,30
sub-rid000015_task-raiders_acq-8ch344vol_run-06_bold.nii.gz,56,31
sub-rid000015_task-raiders_acq-8ch344vol_run-07_bold.nii.gz,57,32
sub-rid000020_task-raiders_acq-8ch326vol_run-04_bold.nii.gz,61,33
sub-rid000020_task-raiders_acq-8ch336vol_run-01_bold.nii.gz,62,34
sub-rid000020_task-raiders_acq-8ch340vol_run-05_bold.nii.gz,63,35
sub-rid000020_task-raiders_acq-8ch340vol_run-08_bold.nii.gz,64,36
sub-rid000020_task-raiders_acq-8ch344vol_run-02_bold.nii.gz,65,37
sub-rid000020_task-raiders_acq-8ch344vol_run-03_bold.nii.gz,66,38
sub-rid000020_task-raiders_acq-8ch344vol_run-06_bold.nii.gz,67,39
sub-rid000020_task-raiders_acq-8ch344vol_run-07_bold.nii.gz,68,40
sub-rid000028_task-raiders_acq-8ch326vol_run-04_bold.nii.gz,71,41
sub-rid000028_task-raiders_acq-8ch336vol_run-01_bold.nii.gz,72,42
sub-rid000028_task-raiders_acq-8ch340vol_run-05_bold.nii.gz,73,43
sub-rid000028_task-raiders_acq-8ch340vol_run-08_bold.nii.gz,74,44
sub-rid000028_task-raiders_acq-8ch344vol_run-02_bold.nii.gz,75,45
sub-rid000028_task-raiders_acq-8ch344vol_run-03_bold.nii.gz,76,46
sub-rid000028_task-raiders_acq-8ch344vol_run-06_bold.nii.gz,77,47
sub-rid000028_task-raiders_acq-8ch344vol_run-07_bold.nii.gz,78,48
sub-rid000029_task-raiders_acq-8ch326vol_run-04_bold.nii.gz,81,49
sub-rid000029_task-raiders_acq-8ch336vol_run-01_bold.nii.gz,82,50
sub-rid000029_task-raiders_acq-8ch340vol_run-05_bold.nii.gz,83,51
sub-rid000029_task-raiders_acq-8ch340vol_run-08_bold.nii.gz,84,52
sub-rid000029_task-raiders_acq-8ch344vol_run-02_bold.nii.gz,85,53
sub-rid000029_task-raiders_acq-8ch344vol_run-03_bold.nii.gz,86,54
sub-rid000029_task-raiders_acq-8ch344vol_run-06_bold.nii.gz,87,55
sub-rid000029_task-raiders_acq-8ch344vol_run-07_bold.nii.gz,88,56
sub-rid000033_task-raiders_acq-8ch326vol_run-04_bold.nii.gz,91,57
sub-rid000033_task-raiders_acq-8ch336vol_run-01_bold.nii.gz,92,58
sub-rid000033_task-raiders_acq-8ch340vol_run-05_bold.nii.gz,93,59
sub-rid000033_task-raiders_acq-8ch340vol_run-08_bold.nii.gz,94,60
sub-rid000033_task-raiders_acq-8ch344vol_run-02_bold.nii.gz,95,61
sub-rid000033_task-raiders_acq-8ch344vol_run-03_bold.nii.gz,96,62
sub-rid000033_task-raiders_acq-8ch344vol_run-06_bold.nii.gz,97,63
sub-rid000033_task-raiders_acq-8ch344vol_run-07_bold.nii.gz,98,64
sub-rid000038_task-raiders_acq-8ch326vol_run-04_bold.nii.gz,101,65
sub-rid000038_task-raiders_acq-8ch336vol_run-01_bold.nii.gz,102,66
sub-rid000038_task-raiders_acq-8ch340vol_run-05_bold.nii.gz,103,67
sub-rid000038_task-raiders_acq-8ch340vol_run-08_bold.nii.gz,104,68
sub-rid000038_task-raiders_acq-8ch344vol_run-02_bold.nii.gz,105,69
sub-rid000038_task-raiders_acq-8ch344vol_run-03_bold.nii.gz,106,70
sub-rid000038_task-raiders_acq-8ch344vol_run-06_bold.nii.gz,107,71
sub-rid000038_task-raiders_acq-8ch344vol_run-07_bold.nii.gz,108,72
sub-rid000042_task-raiders_acq-8ch326vol_run-04_bold.nii.gz,111,73
sub-rid000042_task-raiders_acq-8ch336vol_run-01_bold.nii.gz,112,74
sub-rid000042_task-raiders_acq-8ch340vol_run-05_bold.nii.gz,113,75
sub-rid000042_task-raiders_acq-8ch340vol_run-08_bold.nii.gz,114,76
sub-rid000042_task-raiders_acq-8ch344vol_run-02_bold.nii.gz,115,77
sub-rid000042_task-raiders_acq-8ch344vol_run-03_bold.nii.gz,116,78
sub-rid000042_task-raiders_acq-8ch344vol_run-06_bold.nii.gz,117,79
sub-rid000042_task-raiders_acq-8ch344vol_run-07_bold.nii.gz,118,80
sub-rid000043_task-raiders_acq-8ch326vol_run-04_bold.nii.gz,121,81
sub-rid000043_task-raiders_acq-8ch336vol_run-01_bold.nii.gz,122,82
sub-rid000043_task-raiders_acq-8ch340vol_run-05_bold.nii.gz,123,83
sub-rid000043_task-raiders_acq-8ch340vol_run-08_bold.nii.gz,124,84
sub-rid000043_task-raiders_acq-8ch344vol_run-02_bold.nii.gz,125,85
sub-rid000043_task-raiders_acq-8ch344vol_run-03_bold.nii.gz,126,86
sub-rid000043_task-raiders_acq-8ch344vol_run-06_bold.nii.gz,127,87
sub-rid000043_task-raiders_acq-8ch344vol_run-07_bold.nii.gz,128,88
